"last_name, first_name",player_id,year,woba,est_woba,est_woba_minus_woba_diff
"Wallach, Chad",595453,2020,0.278,0.262,0.016
"Higashioka, Kyle",543309,2020,0.319,0.312,0.007
"Stevenson, Andrew",664057,2020,0.485,0.368,0.117
"Mayfield, Jack",608686,2020,0.207,0.211,-0.004
"Smith, Mallex",605480,2020,0.158,0.181,-0.023
"Davidson, Matt",571602,2020,0.268,0.339,-0.071
"Garneau, Dustin",572863,2020,0.256,0.273,-0.017
"Evans, Phillip",595943,2020,0.409,0.331,0.078
"Muñoz, Yairo",622168,2020,0.358,0.29,0.068
"McGuire, Reese",624512,2020,0.091,0.126,-0.035
"Piña, Manny",444489,2020,0.328,0.374,-0.046
"Owings, Chris",572008,2020,0.326,0.253,0.073
"Wade Jr., LaMonte",664774,2020,0.285,0.268,0.017
"Smith, Pavin",656976,2020,0.32,0.357,-0.037
"Odom, Joseph",641929,2020,0.168,0.178,-0.01
"Butera, Drew",460077,2020,0.176,0.152,0.024
"Freeman, Mike",502273,2020,0.275,0.254,0.021
"Cordero, Franchy",614173,2020,0.312,0.438,-0.126
"Mejía, Francisco",642336,2020,0.149,0.193,-0.044
"Heim, Jonah",641680,2020,0.223,0.299,-0.076
"Ravelo, Rangel",592660,2020,0.233,0.27,-0.037
"Wieters, Matt",446308,2020,0.252,0.323,-0.071
"Díaz, Lewin",650331,2020,0.181,0.215,-0.034
"Alvarez, Eddy",657193,2020,0.228,0.19,0.038
"Taylor, Tyrone",621438,2020,0.334,0.365,-0.031
"Walker, Neil",435522,2020,0.237,0.241,-0.004
"Thomas, Lane",657041,2020,0.203,0.213,-0.01
"Fisher, Derek",605233,2020,0.348,0.344,0.004
"Smith, Kevan",607345,2020,0.363,0.342,0.021
"Forsythe, Logan",523253,2020,0.205,0.301,-0.096
"Mathias, Mark",664029,2020,0.275,0.265,0.01
"Duggar, Steven",621453,2020,0.206,0.234,-0.028
"Hamilton, Billy",571740,2020,0.172,0.236,-0.064
"Heredia, Guillermo",628338,2020,0.291,0.347,-0.056
"Cespedes, Yoenis",493316,2020,0.267,0.304,-0.037
"Davis, Jonathan",641505,2020,0.35,0.35,0
"Marisnick, Jake",545350,2020,0.402,0.238,0.164
"Refsnyder, Rob",608701,2020,0.229,0.261,-0.032
"Almora Jr., Albert",546991,2020,0.223,0.211,0.012
"Young, Andrew",670370,2020,0.35,0.361,-0.011
"Bishop, Braden",623323,2020,0.22,0.206,0.014
"Demeritte, Travis",641513,2020,0.23,0.283,-0.053
"Huff, Sam",669087,2020,0.469,0.426,0.043
"Holaday, Bryan",592407,2020,0.187,0.217,-0.03
"Mathisen, Wyatt",621500,2020,0.355,0.332,0.023
"Allen, Austin",664119,2020,0.233,0.168,0.065
"Allen, Greg",656185,2020,0.267,0.3,-0.033
"Souza Jr., Steven",519306,2020,0.262,0.214,0.048
"Kratz, Erik",456124,2020,0.335,0.294,0.041
"Sánchez, Jesús",660821,2020,0.139,0.25,-0.111
"Alford, Anthony",546990,2020,0.306,0.228,0.078
"Fraley, Jake",641584,2020,0.231,0.203,0.028
"Hernandez, Yadiel",628450,2020,0.26,0.227,0.033
"Morrison, Logan",489149,2020,0.221,0.279,-0.058
"Barreto, Franklin",620439,2020,0.089,0.142,-0.053
"Mateo, Jorge",622761,2020,0.196,0.259,-0.063
"Urías, Ramón",602104,2020,0.413,0.392,0.021
"Nido, Tomás",621512,2020,0.389,0.328,0.061
"Kirk, Alejandro",672386,2020,0.418,0.344,0.074
